coicop,ratio_sol,ratio_usd,stddev,stddev.1
C1,63.67153415576611,19.632862871829406,156.185486703636,48.159170082683296
C2,61.253996571753525,18.887424827246093,224.982104627787,69.37233203291579
C3,87.27373059969138,26.910505735205433,311.359451877867,96.00644154858959
C4,288.2458042304866,88.87944077466852,517.554625539149,159.585898541847
C5,130.8184286626975,40.33733920555214,501.413658656495,154.608895993367
C6,110.22933123127815,33.988773367834476,480.76162710822604,148.240924671703
C7,56.099906071117,17.29818163765733,202.71255319761002,62.505604928487394
C8,61.13122631601993,18.849569109660315,112.42639097274599,34.666227950881
C9,482.7988450373302,148.86909267060116,657.3225044203369,202.682764950913
C10,86.41848307644429,26.646793582264486,304.736695984678,93.96434126036421
C11,156.57556260988437,48.27944842885606,444.496705792871,137.058781244502
C12,107.051075269127,33.00877087186558,628.878671563135,193.912222876487
